source,name,slug,alias,type,status,description,universe,categories,stories,places,affiliates
Chapter 12 (Kids Version),Punky Pockyridge,punky-pockyridge,,Individual,published,"Position: Bully/Student At Candyville Middle School

Shaped like the Japanese candy Pocky. He is a punkster and is bully at school. His known enemy is Giggly Gumdrop who beats him at everything. It is revealed that he has a crush on Giggly.",Kids,Kids,,Candy Village,Giggly Gumdrop
Chapter 12 (Kids Version),Vonna Vine,vonna-vine,,Individual,published,"Position: Inspiring Actor & Student At Candy Hill High

Daughter to Robert Vine the town’s award winning actor. Like her father she has a passion for acting and art. She attends Candy Village High. She also is a singer. Her direct arch rival is Cindy Cinnamon.",Kids,Kids,,Candy Village,Robert Vine
Chapter 12 (Kids Version),Robert Vine,robert-vine,,Individual,published,"Position: Actor

With a valiant career in acting, Robert has inspired his daughter to become whatever she wants when she grows up. She chose to become an actor which made him proud. Proud enough that he made a movie about her.",Kids,Kids,,Candy Village,Vonna Vine
Chapter 12 (Kids Version),Jill Jolly,jill-jolly,,Individual,published,"Position: Gym Teacher At Candyville Middle School

Over excited gym teacher at Candyville Middle School. Students play pranks on her which she overlooks as their affection for her.",Kids,Kids,,Candy Village,Candyville Middle School Students
Chapter 12 (Kids Version),Trouble Toblerone,trouble-toblerone,,Individual,published,"Position: Town’S Thief

Leader of the Gummybear Click. He sits out most of their missions because of his distinct look. It is said that he is responsible for most if not all of Candy Village’s robberies.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Mr. Smarty,mr-smarty,,Individual,published,"Position: Science Teacher At Candy Village High

Resembling the Smarts candy. Mr. Smarty is the slow talking science teacher at CANDY HILL HIGHthat always puts students to sleep. He talks so slow that he puts himself to sleep half way through a speech.",Kids,Kids,,Candy Village,Candy Hill Highstudents
Chapter 12 (Kids Version),Milton Milkeyd,milton-milkeyd,,Individual,published,"Position: Math Teacher At Candy Village High

Milton has a milk dud head. He is filled with chocolate and cream which shows whenever he cries. Crying at random moments for different occasions. Milton is the Math Teacher at Candy Village High",Kids,Kids,,Candy Village,Candy Hill Highstudents
Chapter 12 (Kids Version),Perry Pixie,perry-pixie,,Individual,published,"Position: Announcer At Races

With a long slim body, Perry Pixie is a pixie stick. He spills out sugar whenever he laughs or is excited. He is loud and serves as the perfect announcer at everything from races to other events.",Kids,Kids,,Candy Village,Candy Lane Racers; Racer Red
Chapter 12 (Kids Version),Bina The Ballerina Pop,bina-the-ballerina-pop,,Individual,published,"Position: Ballet Instructor

Bina is a blowpop like no other. With her ever changing colored outfits. She is always ready to dance mostly in the form of ballet. Instead of walking she bounces up and down.",Kids,Kids,,Candy Village,Tootsie
Chapter 12 (Kids Version),Johnson Milkyway,johnson-milkyway,,Individual,published,"Position: Host At The Candy Village Theme Park

Resembling a Milky Way bar, Johnson host numerous rides at the Candy Village’s biggest theme park.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Ricky Krispie,ricky-krispie,,Individual,published,"Ricky is a rice Krispy treat with attitude. He was once a part of the town’s gang. Until he supposedly went straight. However, he reverts back to his old habits serving as the town’s Robin Hood.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Karina Cotton,karina-cotton,,Individual,published,"Karina Cotton is fluffy and dresses, sounds, and act like a southern bell. With her fluffy cotton candy dress and her big hair. She is the envy of all the town’s men.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Ruth,ruth,,Individual,published,"Position: Baseball Player

Ruth is the town’s greatest baseball player. He plays the game of Marbles which is the equivalent to baseball in Candy Village. He is known as far as Food Town on the other side of the world. In his downtime, he likes to play Golf which is called Fuzz.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Almondo John,almondo-john,,Individual,published,"Position: Janitor

Resembling an Almond Joy, Almondo is the janitor of many things. He could be at school or just around an area cleaning. His house is filled with old forgotten candy. When he is working he doesn’t smile, but when he is at home he is never known not to smile.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Reese Cupe`,reese-cupe,,Individual,published,"Position: Flight Captain

Resembling a round Reese’s cup. He is the proud captain of the SS Wonka, one of the planes that takes passengers to distant lands. His frequent destination is Food Town which bridges the two places together. He speaks with a deep French accent and is often mistaking for Pepe` when the two aren’t seen.",Kids,Kids,,Candy Village,George Pay
Chapter 12 (Kids Version),George Pay,george-pay,,Individual,published,"Position: Co-Captain

Resembling a payday bar. With giants nuts around his body. George is usually caught sneezing. Which releases salt and sugar into the air causing others to sneeze after him. He can be seen as a frequent captain aboard the SS Wonka. He is also a frequent patient to Gary Greenapple.",Kids,Kids,,Candy Village,Reese Cupe`
Chapter 12 (Kids Version),Starry Burst,starry-burst,,Individual,published,"Position: Flower Shop Owner

Cheery multicolored starburst girl Starry Burst. Is a dynamic flower shop owner who can burst out in a musical at any given moment. Although she cannot sing, she enjoys it and amuses and annoys everyone that comes into her shop.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Pepe`,pepe,,Individual,published,"Position: Boat Owner

Resembling Peeps candy, Pepe` has a strong French accent. He is flamboyant and dresses like a fashionista. He can be seen on occasion with marshmallow like birds flying around him.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Monty Junior,monty-junior,,Individual,published,"Position: Computer Tech

Resembling Junior Mints. Monty loves technology. Often installing advance gadgets in homes and fixing things that are related to technology. He is also the silent type unless a topic of technology comes up.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Tootsie,tootsie,,Individual,published,"Position: Ballet Instructor

Arch Rival to Bina the Ballerina Pop. She owns a dance studio opposite of Bina’s. When she open the two has since been at odds. Often fighting to get students. She appears in different colored outfits opposite of the colors of Bina.",Kids,Kids,,Candy Village,Bina; The Ballerina Pop
Chapter 12 (Kids Version),Shumway Skit,shumway-skit,,Individual,published,"Position: Owner Of The Haircut Shop

Appearing in multiple colors at times like the skittles he resembles. The S on his chest is often mistaken for a super hero type design. Although he constant reverts to it only being his name. He is the town’s vet.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Cadburry Eggstrom,cadburry-eggstrom,,Individual,published,"Position: Owner Of The Egg Shop

With half of his body a tasty sweet egg. Cadburry is the topic of jokes. Although a very wealthy man and owner of the Egg Shop. Cadburry enjoys his time alone because of the constant joking.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Franklin La Fish Bula`,franklin-la-fish-bula,,Individual,published,"Position: Music Teacher At Candy Hill High

A Swedish man resembling the Swedish Fish candy. He waddles and talks in rhymes. He sings and brings on a musical throughout the town.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Pepper York,pepper-york,,Individual,published,"Position: One Of The Candy Lane Racers

Resembling a York Peppermint Patty. Pepper is hot headed with a scent of mint. She gets easily angered and shows it during races. Her good points are that she will try not to get road rage while racing against others. Although this has never happen.",Kids,Kids,,Candy Village,Candy Lane Racers
Chapter 12 (Kids Version),Kitty Kat Kat,kitty-kat-kat,,Individual,published,"Position: One Of The Candy Lane Racers

Kitty is one of the racers of Candy Lane Racers. Moving to Candy Village, Kitty has been on a search for something mysterious.",Kids,Kids,,Candy Village,Candy Lane Racers
Chapter 12 (Kids Version),Hilda Hershey,hilda-hershey,,Individual,published,"Position: One Of The Candy Lane Racers

Hilda is daughter to two acrobatic instructors whom are never seen. Flexible herself, Hilda loves racing and is one of the constant players of Candy Lane Racers",Kids,Kids,,Candy Village,Candy Lane Racers
Chapter 12 (Kids Version),Brinda Butterfin,brinda-butterfin,,Individual,published,"Position: Town’S Lawyer

Brinda is a Butterfinger with spunk. She loves fixing other people’s problems and even helping to represent them. She is the town’s lawyer and very good at her job. Her law firm represents racers who are sued for their conduct on the field.",Kids,Kids,,,
Chapter 12 (Kids Version),Candy Collina Corn,candy-collina-corn,,Individual,published,"Position: Town’S Farmer

Candy owns a large patch of candy corn growing on the West side of Candy Village. Since candy corn is used in almost all dishes of Candy Village’s resident’s food. She is their living hope for good and consistent food.",Kids,Kids,,,
Chapter 12 (Kids Version),Twizzy,twizzy,,Individual,published,"Position: Town’S Dj

Twizzy is the town’s DJ. He loves music and with his multicolored dreads. He is the island sounding guy who is never seen with a musical instrument.",Kids,Kids,,,
