source,name,slug,alias,type,status,description,universe,categories,stories,places,affiliates,age,abilities
Eliteverse-Heroes-Villains-A-G,Aldi-ri,aldi-ri,,Team,published,"An ancient group of demon slaying beings that was given powers by the angels to defeat their enemies. During the moment, this group of empowered beings encountered their first demon on Earth, demonic activity has since grew.",Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Aldi-ri,aldi-ri-individual,Aldi-ri,Individual,published,"The Aldi-ri was the first demon slayers, within their bodies laid the 7 temples that protected the resting place of Belckus. When the world started to grow, the Aldi-ri knowing of their coming ascension to Heaven turned their bodies into the 7 temples and allowed one of their members to remain both in Hell and on Earth to protect against the demons that were looking to destroy the 7 temples. To make it harder to open the temples, the Aldi-ri scattered the 7 temples across the world and set a total of 66 seals circling each temple for added protection. In many myths it is believed that the Aldi-ri are responsible for constructing weapons to defeat demons and several of their kind such as blessing water to kill vampires (Holy Water), cursing doorways, cursing the moon and sun, cursing steel, and even blessing All Hollows Eve.",Main Universe,Heroes,,,Aldi-ri,,Creates portals; Omniprescenes; Galactic Beings; Angelic abilities; Demonic Abilities; Ominisense; Skilled swordsmans
Eliteverse-Heroes-Villains-A-G,Okani,okani,,Individual,published,,Main Universe,Heroes,,,Aldi-ri,,
Eliteverse-Heroes-Villains-A-G,Setsunai,setsunai,,Individual,published,,Main Universe,Heroes,,,Aldi-ri,,
Eliteverse-Heroes-Villains-A-G,Vokai,vokai,,Individual,published,,Main Universe,Heroes,,,Aldi-ri,,
Eliteverse-Heroes-Villains-A-G,Zachariya,zachariya,,Individual,published,,Main Universe,Heroes,,,Aldi-ri,,
Eliteverse-Heroes-Villains-A-G,Symbolus,symbolus,,Individual,published,,Main Universe,Heroes,,,Aldi-ri,,
Eliteverse-Heroes-Villains-A-G,Sealia,sealia,,Individual,published,,Main Universe,Heroes,,,Aldi-ri,,
Eliteverse-Heroes-Villains-A-G,Korse,korse,Demon Shaman,Individual,published,"Age: Estimated over 6,000 years old

Called upon every 1,000 years to fight against the dark forces, Korse was one of the most powerful demon watchers of his time. He once fought a demon lord and his arm was severed, thus the cloth like structure that he has where his left arm once was. Korse appears as he is in his late 20s with long white hair and at times demonic like appearances like horns, black eyes, and markings of demonic origins around his body. It is believed that he is of demon blood however no one has found any definite proof. Korse was called upon to join the Nightwalkers when one of his returning enemies found its way back to the land of the living.",Main Universe,Heroes,,,Aldi-ri; Nightwalkers,,Sensing of demons; Energy based attacks; Turns blood into weapons; Great speed; Skilled swordsman
Eliteverse-Heroes-Villains-A-G,Alien 6,alien-6,,Team,published,"Aliens that travelled to Earth to only get stuck on our world and begins to protect it from the alien forces that has followed them here. Each member is from a different race and collectively they will combine their talents, knowledge, and power to stop anything from disrupting their new home.",Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Dain Richardson,dain-richardson,The Banisher,Individual,published,Considered to be apart of secret society that once visited Earth during a raid of alien Descendants that wanted to find out Earth secrets to make themselves more powerful. Dain would later returned this time apart of a different team that over time would serve as their own partial government implanting a secret plan to unearth some of our world’s greatest secrets and technologies.,Main Universe,Heroes,,,Alien 6,33,Teleportation; Dimensional Energy Projection
Eliteverse-Heroes-Villains-A-G,Debrah Nox,debrah-nox,Vyce,Individual,published,"Abilities: Body is composed of a non-toxic form of mercury

Debrah Nox was from the planet Tuwai, from her world she was considered the most beautiful with her black marble skin. She could stretch her body at will and produce toxins that could cause death if needed. She first met The Banisher at a Galactic Conference on Earth’s moon and from there she would join his ranks in order to provide immunity and peace to her homeworld as it was at war from a neighboring planet.",Main Universe,Heroes,,,Alien 6,21,Which she can reshape; Stretch at will
Eliteverse-Heroes-Villains-A-G,Dedlin Rigin,dedlin-rigin,Super Charge,Individual,published,"Dedlin became Super Charge on his world, Tamaron when he had to fight his government. He was considered its Robin Hood as he fought for the less fortunate and was considered a vigilante. He joined the other Alien 6 members during the Galactic Conference waiting approval to take on his government for rights for his people.",Main Universe,Heroes,,,Alien 6,27,Ability to charge metal with bio-energy
Eliteverse-Heroes-Villains-A-G,Venna Vardos,venna-vardos,Distort,Individual,published,"Venna Vardos was the most wanted on her planet because of her dangerous abilities. She escaped to the Galactic Conference disguising herself aas a princess fighting for her planet. She met the other future members of the Alien 6 of who (disguised as a princess fighting for her home world) invited her to their team. Over time she fought as a hero, vigilante, and villain, with her team members never truly knowing who she is.",Main Universe,Heroes,,,Alien 6,28,Ability to induce extreme disorientation; Nausea; Unconsciousness
Eliteverse-Heroes-Villains-A-G,Ken Rodish,ken-rodish,Mr. Ken,Individual,published,"Abilities: Metabolizes kinetic energy into greater physical attributes

Ken Rodish also known as Mr. Ken was one of the first members of the Alien 6 to induct others to hopefully fight against the Galactic Alliance in uniting all worlds together under one law and one order, controlling their very existence. United by other teams from across the galaxy, the Alien 6 and others formed the Galactic Conference.",Main Universe,Heroes,,,Alien 6,33,
Eliteverse-Heroes-Villains-A-G,Sesta Vitchi,sesta-vitchi,Lady Cyborg,Individual,published,"Abilities: Mechanical genius Able to create numerous types of energy

Main speaker of the Galactic Conference, Sesta also known as Lady Cyborg was very intelligent and possessed unique ways of uniting others from different cultures and worlds as one. She saw the Alien 6 and united them and led them against her enemies the Galactic Alliance.",Main Universe,Heroes,,,Alien 6,29,Cyborg body; Abnormal strength; Reflexes
Eliteverse-Heroes-Villains-A-G,Alpha 6,alpha-6,,Team,published,Created through a chemical spill that spilled out into the center of Elite City,Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Genoe,genoe,Solar Boy,Individual,published,"Age: 19 (human age)

Solar boy was one of the first to create the Alpha 6; it was his goal to comprise a group strong enough to destroy the aliens that attacked his home world. While on Earth searching for these Descendants, Solar boy named Genoe fell in love with one of his fellow teammates The White Archess.",Main Universe,Heroes,,,Alpha 6,,Solar Energy
Eliteverse-Heroes-Villains-A-G,Linda Fairview,linda-fairview,The White Archess,Individual,published,"Linda never knew really what her purpose was in life, until that is when she met Genoe and the two fell in love while he was on Earth. She traveled around the planet in search of others while in the process dating Genoe. Back on Solar Boy’s world, the two married and had a son whose power would end the century old war that the two were in the midst of.",Main Universe,Heroes,,,Alpha 6,18,Kinetic Energy
Eliteverse-Heroes-Villains-A-G,Bethany,bethany,Screeching Harlet,Individual,published,"Bethany was always known by her name the Screeching Harlet because of her sonic blasts that she emits while screaming. Seen with long white and gray hair and ghostly figure, Bethany was believed to have died centuries ago only remaining behind to take vengeance on the descendants of the criminals that took her life. She joined the Alpha 6 in hopes to gather the strength to defeat the last bloodline of the criminals.",Main Universe,Heroes,,,Alpha 6,469,Sonic Blasts
Eliteverse-Heroes-Villains-A-G,Breck Daniels,breck-daniels,Energy Man,Individual,published,"Breck Daniels was one of the many soldiers in his father’s army to protect the world from an evil race of giant robots. By his fans, he is known as Energy Man and by many as the Source of Power because of his energy regeneration abilities.",Main Universe,Heroes,,,Alpha 6,21,Energy Regeneration
Eliteverse-Heroes-Villains-A-G,Dorothy Harmon,dorothy-harmon,Source Girl,Individual,published,"Dorothy Harmon grew up in a small town south of Atlanta, GA and was one of the prettiest girls in her town. She won numerous pageants and was adored by her peers until she caught a virus that caused a strange transformation. Her body bulked up and everything that she touches was absorbed into negative energy of which she could release through great physical force. To find help to return back to normal, she joined the Alpha 6 and sometimes after she learn to accept her mutation and help others with her now found abilities.",Main Universe,Heroes,,,Alpha 6,15,Energy Absorption to become stronger
Eliteverse-Heroes-Villains-A-G,Vector Reems,vector-reems,Parasect,Individual,published,"Fan of the bugs in his mother’s garden house, Vector Reems has devoted his life to find out everything he could about bugs and protecting the ones he come in contact with. One day while researching one of these specimens, Vector got poisoned by one of his insects causing him to react strangely. He received powers similar to that of a bug, he literally had every ability of a bug and could become smaller and bigger at will as one of his abilities. As an adult, Vector now known as Parasect would moonlight as both a team member of the Insectious 4 and Alpha 6.",Main Universe,Heroes,,,Alpha 6; Insectous 4,27,Insect like abilities; Bug wings; Venom; Great hearing; Sight; Ability to see in the dark; Longevity; Durability
Eliteverse-Heroes-Villains-A-G,Alpha Beta Club,alpha-beta-club,,Team,published,"With his super powered team of college students, Coach Darrel Hines brought the group together in hopes to keep them out of trouble. Little did he knew at the time that each one of them had their own special abilities caused by a mysterious star shower that hit their caravan while they were on their way to their first tournament.",Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Ervin Lorenso,ervin-lorenso,The Strategist,Individual,published,Ervin Lorenso was a professional football player that used his great speed and gift of strategic thinking to win several games unknowingly to his team and opponents. Ervin was discovering by an elite team of sports enthusiasts who each had similar abilities related to sports called the Alpha Beta Club.,Main Universe,Heroes,,,Alpha Beta Club,20,Strategic Thinking; Enhance Speed
Eliteverse-Heroes-Villains-A-G,Michael Dowin,michael-dowin,Fireball,Individual,published,Michael Dowin was considered a professional basketball player because of his enhanced ability to omit fireballs in shape of basketballs from his hands and control their movements. He would disguise the balls like basketballs and make the perfect goals. He was inducted into the NBA at 19 and met with Darrell Hines when he was 20 and worked part time as a member of the Alpha Beta Club.,Main Universe,Heroes,,,Alpha Beta Club,20,Basketball like Fireballs
Eliteverse-Heroes-Villains-A-G,Daniel Goop,daniel-goop,Beta Master,Individual,published,"Daniel Goop could have been the world’s best soccer player because of his ability. He had great speed, fast reflexes, and could see movements before they were done during a technique similar to premonitions. However when he was 19 he was discovered by Darrell Hines who was able to induct him into an elite society called Alpha Beta Club and made a vigilante.",Main Universe,Heroes,,,Alpha Beta Club,19,Great Speed; Inhuman reflexes; Precognic motion sensing
Eliteverse-Heroes-Villains-A-G,Johnathan Stevens,johnathan-stevens,Hotshot,Individual,published,Johnathan Stevens had the unique ability to turn his hands into tennis racket like object which could be used as swords and reflect other abilities thrown at him. He was known as the Player because of his great speed and intellectual thinking. He joined the Alpha Beta Club because of his similar interests in sports.,Main Universe,Heroes,,,Alpha Beta Club,23,Body morphing; Relective hands
Eliteverse-Heroes-Villains-A-G,Sin Arnold Baines,sin-arnold-baines,Light Star,Individual,published,"Abilities: Spiked like balls emitting of pure energy

Sin Arnold Baines was the captain of his volleyball team. He traveled the country in hopes to find others to join his team however he eventually broke the group up to join the Alpha Beta Club.",Main Universe,Heroes,,,Alpha Beta Club,21,Light
Eliteverse-Heroes-Villains-A-G,Coach Darrell Hines,coach-darrell-hines,,Individual,published,"Coach Darrell Hines was one of the most sought out professional sports coach in the world mostly because of his ability to provide good numbers during chapter games. However one day, Darrell let the pressure of winning and rich and fame get to him causing him to drink himself into insanity. From that moment, Darrell used his new insanity to recreate his varsity teams under the name Alpha Beta Club however this time around with a mission to literally destroy other teams as he makes it into the major playoffs.",Main Universe,Heroes,,,Alpha Beta Club,44,
Eliteverse-Heroes-Villains-A-G,Androids 168,androids-168,,Team,published,"Created to be superior to humans, yet allow their own unique personalities cause them to resemble those same humans.",Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Android 7 “Se7en”,android-7-se7en,Se7en (Human form),Individual,published,"Created to take on a human life, Android 7 or as she calls herself amongst humans, Se7en or Seven.  Se7en is tall, blonde, and the stereotypical cheerleader with no signs of being a robot, even her insides is human with robotic parts around organs to give her a longer life and abilities similar to those of an abnormal. Her creator remains a mystery but is believed by her and her two brothers to be A.N.G.E.L.",Main Universe,Heroes,,,Androids 168,2,Super Strength; Great Intellect; Lazer beams; Flight; Ice breath; Control over the wind
Eliteverse-Heroes-Villains-A-G,Android 6,android-6,Sech,Individual,published,"Often leader and oldest of his siblings, although only 3 years old, he appears about 17 and takes on the mature role of protecting his family and fighting for any cause that he believes in regardless if its right or wrong. He appears as the stereotypical jock in school with little to no signs of being a robot. He lost his virginity to the school’s head cheerleader much to his sister hatred. With his siblings, he forms the Androids 168 and together they fight crime and at times are often enemies of other superheroes believing that they should be the only ones.",Main Universe,Heroes,,,Androids 168,3,Super Strength; Great Intellect; Fire breathing; Can melt things with his hands; Super speed
Eliteverse-Heroes-Villains-A-G,Android 8,android-8,Huit,Individual,published,"When Android 6 proved to be a successful attempt at creating the perfect teenager and cover-up operation, Android 8 also known in his human form as Huit was created. He is the stereotypical geek that wears glasses, a pocket protector, and abnormal intellect.  His abilities to control the water around him has made him one of the strongest of his siblings and at times the most powerful because he can also control the water found in bodies.",Main Universe,Heroes,,,Androids 168,2,Super strength; Great intellect; Control over water
Eliteverse-Heroes-Villains-A-G,Angel Slayers,angel-slayers,,Team,published,Weapon wielding individuals that despise angels and their self-righteous attitudes. They have taken an oath to wipe the heavens of all angels before Santaniel returns.,Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Damion Scarse,damion-scarse,Litch,Individual,published,One of the youngest Angel Slayers and a ruthless tyrant that uses his abilities to kill angels and other Descendants. Damion also known as Litch was born in South Korea and uses his influence there to train future Angel Slayers.,Main Universe,Heroes,,,Angel Slayers,22,Enhanced Strength; Rapid speed; Giant invisible wings; Necklace that can kill angels
Eliteverse-Heroes-Villains-A-G,Monique Woods,monique-woods,Gomeika,Individual,published,A powerful weapon yet beautiful creature that took human form after being released from hell. Her demonic skin can kill normal humans if touched so to not bring attention to herself she is always seen covered in clothes. Her hair is made of acid and mixed the correct way it can kill other demons including her. She was giving a knife that can kill angels and is one of the secret beauties of the team and one of its most deadly.,Main Universe,Heroes,,,Angel Slayers,28,Enhanced Strength; Long hair made of acid; Knife that can kill angels
Eliteverse-Heroes-Villains-A-G,Phillip Hawns,phillip-hawns,Billith,Individual,published,"Phillip Hawns uses his powers over time to kill his opponents, son of the god Shecknurd; he is the many of Shecknurd’s children that has symbols of Lium “home of the gods” around his body which in return protects him from magic. He joined the Angel Slayers as Billith and has since discarded his godly ancestory.",Main Universe,Heroes,,,Angel Slayers,25,Enhanced Strength; Time Manipulation; Dagger that can kill angels
Eliteverse-Heroes-Villains-A-G,Linly Victos,linly-victos,Trap Queen,Individual,published,"Known for trapping her opponents in a trap made of harden blood. Linly often called the Trap queen is a powerful advisory that is part vampire and part demonic spirit. From her heart lies the souls of all those that she has since killed since her birth. Rumor lies that she has the power to use those souls to control blood in living beings even in those of immortals and alien races. Linly is considered the most powerful member of the Angel Slayers and at times in the absence of the Bornock, she is their leader.",Main Universe,Heroes,,,Angel Slayers,33,Enhanced Strength; Control over Blood; Ambulant to kill angels
Eliteverse-Heroes-Villains-A-G,Ginsing Conan,ginsing-conan,Ace,Individual,published,"Abilities: Can turn his bones into metallic structure weapons

Ginsing Conan is known for his appearance, body made of pure steel bones, Ginsing also called Ace was given a ring that could kill angels by glaring upon their skin. It was said that he himself is a demonic soul that escape from hell during the Black Raid saga.",Main Universe,Heroes,,,Angel Slayers,40,Enhanced Strength; Ring to kill angels
Eliteverse-Heroes-Villains-A-G,Lumus Ventura,lumus-ventura,Bornock,Individual,published,"Known through South Asia because of his brute force tactics used to take over foreign countries. Lumus adopted the name Bornock because of its Elitshian name meaning “control”. It is believed that his longevity comes from an ancient spell that he received from the 13th son of Bewithia. Since the spell’s interaction, Lumus has travelled the world countless times in search of a powerful race of angel slayers, naming his team of such. He would name them the Angel Slayers because of the weapons they carried around their bodies that allowed them to weaken angels so they can kill them and take their knowledge and abilities. He however only created a few known group of angel slayers, with over 7 regions of angel slayer teams in the world.",Main Universe,Heroes,,,Angel Slayers,2000,Enhanced Strength; Control over beats; Demons; Sword to kill angels
Eliteverse-Heroes-Villains-A-G,Arabian Thieves,arabian-thieves,,Team,published,"Some of the greatest thieves in history, the team of disastrous thieves prides themselves on gathering all the world’s most precious items.",Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Mischa Idura,mischa-idura,,Individual,published,"Mischa Idura was the beautiful wife to Sensai, the King of Barburis. After many years of serving as his advisor and unknowningly to his knowledge, his very own protector. Mischa decided to use her abilities over dust to help out with the kingdom of which she helped to rule. She became the Sand Gypsy.",Main Universe,Heroes,,,The Arabian Thieves; Arabian Thieves,33,Power over Dust
Eliteverse-Heroes-Villains-A-G,Daniel Arshka,daniel-arshka,,Individual,published,"Daniel Arshka fought alongside his fellow thieves to protect the poor from the hands of Sensai. Daniel met Mischa while trying to destroy the royal kingdom, after years of fighting, the two found love in each other after mutually saving a small girl from one of Sensai men who was destroying her home for a new mall. Daniel went by the name Lord of Sand because of his similar abilities over the sands.",Main Universe,Heroes,,,The Arabian Thieves; Arabian Thieves,30,Power over Sand
Eliteverse-Heroes-Villains-A-G,Minden Rockari,minden-rockari,,Individual,published,"Abilities: Body Manipulation with the help of sand

Minden Rockari was the main general of Daniel Arshka over his Arabian Thieves. He possessed the ability to turn sand into hard substance stronger than diamond however slicker than ice. He could also turn the sand into differnet shapes and turn his body to match different alloids.",Main Universe,Heroes,,,The Arabian Thieves; Arabian Thieves,41,Molecule Manipulation over sand
Eliteverse-Heroes-Villains-A-G,Arma Indras,arma-indras,,Team,published,"One of the most feared groups of villains in history, the Arma Indras has caused some of the biggest crimes throughout history. Starting from their home of Russia all the way down to Elite City.",Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Sika Sibuichi,sika-sibuichi,Appeara,Individual,published,"Responsible for terrorizing several cities with her mind abilities, Sika Sibuichi has always been a woman of fear to others. Once while a child, Sika probed the mind of her mother of whom she found out was going to send her away to boarding school because of her attitudes. While her mother was asleep one night, Sika used her abilities to place her mom into an eternity long coma. These actions led, Sika to go on the run of which later on in life she would join the Arma Indras who accepted her because of her dark personality and twisted ways of thinking. At one point of her life she would join forces with The Mentals to gain more power over the mind.",Main Universe,Heroes,,,Arma Indras; The Mentals,36,Mind Probing
Eliteverse-Heroes-Villains-A-G,Kenith James,kenith-james,Kinect,Individual,published,"Born in Translyvannia, Kenith James is not a stranger to be called a vampire, mostly because of his old world uniforms, british accent, and vampire like teeth, even his entire personality is dark. Kenith would learn quickly that the world was an ugly place and that it would take him and others to fix it in their own twisted image. Kenith would travel the world as Kinect and would recruit four powerful Descendants that could utilize the power over the mind and use it for their advantage.",Main Universe,Heroes,,,Arma Indras; The Mentals,38,Mind Shock
Eliteverse-Heroes-Villains-A-G,Shaun Masters,shaun-masters,Dream Scape,Individual,published,"Shaun Masters was pronounced brain dead at the end of the year 2006, suffering from a deadly car crash, Shaun would be trapped in a world made of illusions and dreams and would learn how to survive very quickly. As many people thought Shaun was dead, his mind was very much alive, of which he learned how to manipulate dreams and use it to contact others. While visiting a dream of a powerful mental named Kinect, Shaun now known as Dream Scape would get to know the individual and work on his team as a guy on the inside as Kinect called him.",Main Universe,Heroes,,,Arma Indras,29,Dream Mastering
Eliteverse-Heroes-Villains-A-G,Mark Biesters,mark-biesters,Probe,Individual,published,"Paralyzed due to a horrible skiing accident, Mark Biesters found himself stuck in a wheel chair forever. After years of feeling angry at himself and the world around him, Mark would use his dreams to escape reality, a place where he could walk once again. Unknown to him at the time he would be able to use his dream self in the real world through a powerful form of Astral Projection. This event in his life led him to join the Arma Indras after meeting Kenith James in a dream he had, to learn more about his abilities and to make them as powerful as ever.",Main Universe,Heroes,,,Arma Indras,,Dream astral Projection
Eliteverse-Heroes-Villains-A-G,Armored Guild,armored-guild,,Team,published,"Using powered suits, these crime fighting vigilantes find themselves going after the newly created Guild of Super Villains.",Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Gaylen Armorage,gaylen-armorage,Steel Knight,Individual,published,"Abilities: Suit powered with giant lazer beams from his hands

Traveling all the way from America to Elite City, Gaylen created a secret team of super armored heroes that caused more damage when saving the day. Where they fall short of not causing damage to the city. The entire city is greatly protected by Gaylen and his team. Gaylen is one of the seven smartest people in the world having created his billion-dollar collection of suits each aimed at different aspects of being a hero.",Main Universe,Heroes,,,Armored Guild,41,Chest
Eliteverse-Heroes-Villains-A-G,Perla Jamison,perla-jamison,Iron Maiden,Individual,published,"Abilities: Long steel hair that can be used like a whip

During the age when heroes and villians are all battling each other, Perla Jamison decided to try out one of her father’s inventions where psionic charges from pads on an armor were used in the Great World War between Elite City, Atlantis, Muu, and Russia. The suit fell into dismay causing Perla’s father death. She becomes the Iron Maiden to battle alongside her new mentor Steel Knight as part of the Armored Guild.",Main Universe,Heroes,,,Armored Guild,25,Suit powered; Super strength; Enhanced vision; Lazer beams from fingers; Eyes
Eliteverse-Heroes-Villains-A-G,Bushka Oldmidilhy,bushka-oldmidilhy,Metal Warrior,Individual,published,"Following the Russian war against numerous other countries during the Great World War, Bushka found himself on the wrong side of the war and allied against his home Russia. For this he was hunted until he found Alds Jamison twenty years ago and became the Metal Warrior using one of his armored heroes. Later in life, he joins the Armored Guild believing their mission is the same as Jamison’s dream years ago.",Main Universe,Heroes,,,Armored Guild,55,Suit powered; Super strength; Enhanced speed; Lazer beams from mouth
Eliteverse-Heroes-Villains-A-G,Cris Ivors,cris-ivors,Marble Patriot,Individual,published,"Abilities: Suit powered symbiote that gives him super strength; Lazer beams from glass orbs on his head

Born to a defected skull, Cris was always in the hospital and was considered critical. Until one day he was visited by an irish woman who promised that he would live to be a hero and take on the name of Marble Patriot. The vision came true when a surgery performed by an alien giften him with a symbiotic suit that gives him incredible powers. He joins the Armored Guild for several years while also being a solo hero.",Main Universe,Heroes,,,Armored Guild,33,Enhanced hearing; Senses; Hands; Chest
Eliteverse-Heroes-Villains-A-G,Dominus Casen,dominus-casen,Armored Pirate,Individual,published,Dominus has a split personality disorder that causes him to become a villain overnight. During the day he is a part of the Armored Guild as a hero while at night his other half becomes dangerous and comits many crimes against his fellow team members. His condition worsens whenever he comes in direct contact with the moon’s light. His suit was given to him through a discovery of an alien ship one night when he had his first episode. It is believed that the ship gave him his split personality disorder through a discharge before the ship exploded.,Main Universe,Heroes,,,Armored Guild,22,Suit powered with super strength; Lazer beams from feet; Hands; Enhanced speed; Invisibility
Eliteverse-Heroes-Villains-A-G,Army of Chaos,army-of-chaos,,Team,published,"Like their name states, the Army of Chaos brings chaos behind them wherever they are, led by one of the deadliest criminals in history, Armageddon. Their goal is to bring an end to current life as they see it as unfit for the precious lands around us.",Main Universe,Teams,,,,,
