source,name,slug,alias,type,status,description,universe,categories,stories,places,affiliates,options
Chapter 13 (Monsters),Water Made,water-made,,Monster,published,"Appearance: Aquatic bodied female w/pearl on chest

The Water Made uses moisture and liquid around it as attacks. The pearl on its chest is a gift from Crochen, the pearl can omit powerful forces of water that can defeat its enemies regardless of its type advantage.",Main Universe,Monsters,,,,Types: Aqua; Types: Death; Level: Enrage
Chapter 13 (Monsters),Sancktun,sancktun,,Monster,published,This mutant fish lives low near the oceans seabed; it dislikes sunlight and often glows brightly when entering into the sunlight.,Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Steel Fishock,steel-fishock,,Monster,published,"Created long ago by engineers, this steel covered fish’s true body is unknown and is said to be acidic.",Main Universe,Monsters,,,,Types: Aqua; Types: Metal; Level: Battle
Chapter 13 (Monsters),Triton,triton,,Monster,published,"Appearance of Triton, the greek god. When the original god Triton, left his post, he created a holographic image of himself. Overtime this image became real because of its exposure to the world, it replaced him and he became the God of the Seas. He is one of the eldest child to Crochen.",Main Universe,Monsters,,,,Types: Aqua; Types: Spell; Level: Enrage
Chapter 13 (Monsters),Kurcher,kurcher,,Monster,published,"Appearance: Kracken w/2 tails

A 100 foot demonic fish created by Crochen to protect and serve his kingdom. The creature grows a new body everytime it’s defeated however rarely. Its scales can produce acid like liquid that can melt anything it touches. It is said to destroy this creature, you must destroy its heart and brain, and however both are locked in its giant steel like rib cage.",Main Universe,Monsters,,,,Types: Aqua; Types: Shadow; Level: Battle
Chapter 13 (Monsters),Anailis,anailis,,Monster,published,"Giant Whale w/3 eyes. Large 1,000 ton whale that usually lives in large bodies of water, the pendants found on its chest and forehead, usually represent that these creatures are of royal bloodlines; however no proof has shown that they belong to a race of royal figures. Although their size usually means they can’t go many places, they are as fast as sound and can travel the world in matter of hours.",Main Universe,Monsters,,,,Types: Aqua; Types: Beast; Level: Battle
Chapter 13 (Monsters),Eganop,eganop,,Monster,published,"Small Fish w/7 eyes. This creepy little fish, shas a brain the size of humans however its other organs are as small as a peanut. Its body is small however its head is large and is known to possess high intelligence and usually live alone and migrates whenever others come near it.",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Serpush,serpush,,Monster,published,Small Fish w/armor. This fish’s true body was given a shell like armor by scientist hundreds of years ago believing that its scales should be protected because of their useful nourishments.,Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),De’ Fush,de-fush,,Monster,published,"Small Fish w/10 glowing tails. Able to be seen miles above the ocean’s surface, these glowing fish were guides to sailors and pirates in the early 13th century and has since been use as moving light towers to those that were lost in the Pacific Ocean. Their home once was near the bays of Lostasia.",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Atlantian Pirates,atlantian-pirates,,Monster,published,"Appearance: Pirates w/weaponry

Pirates’ w/weaponry. Elfish like pirates with magical armor weaponry, and immortal like lifespan. Some believe that their great fighting and tracking skills is what makes them very useful allies. Mostly found near the bays of Ancient Lostasia, these pirates once were well known traders in the Pacific Channels.",Main Universe,Monsters,,,,Types: Aqua; Types: Soldier; Level: Battle
Chapter 13 (Monsters),Sapphire Fish,sapphire-fish,,Monster,published,"Gold fish w/jeweled armor. Living n near deserts, this golden fish has a jeweled incrusted body and can repel numerous of attacks.",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Zemisite,zemisite,,Monster,published,"Evolves from: Sapphire Fish

Silver Fish w/armor & horns. Its giant horns are used as both weapons, shields, and listening instruments. It lives in packs and is the evolve form of Sapphire Fish.",Main Universe,Monsters,,,,Types: Aqua
Chapter 13 (Monsters),Parish,parish,,Monster,published,"Parana’ w/horns, mechanical parts. Parish is part robot and part fish, its horns can also transform into giant guns while the rest of its body is a protecting shield.",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Lakark,lakark,,Monster,published,Shark w/hindu writing on its body. The hindu writing on its body is believed to be a spell that protects it from magical attacks.,Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),La Seral,la-seral,,Monster,published,"Seal w/armor, small wings. This seal’s wings aren’t useful for flying however it can hop extremely high, usually to avoid attacks.",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Leperas,leperas,,Monster,published,"Evolves from: La Seral

Walrus w/armor. The evolve form of La Seral, it lost its wings while evolving, but it is still able to hop at the same levels.",Main Universe,Monsters,,,,Types: Aqua
Chapter 13 (Monsters),Serprince,serprince,,Monster,published,"Serpent w/hair, spikes. Called the prince of the Atlantic Ocean, Serprince wears a crown like object around its head, representing its status over other aquatic type creatures.",Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric; Level: Ability
Chapter 13 (Monsters),"Oditon, Metal Serpent",oditon-metal-serpent,,Monster,published,"Evolves from: Serprince

Serpent w/hair, armor. Evolve form of Serprince, Obiton is a powerful controller of aquatic types. It uses the crown like object to control other aquatic types.",Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric
Chapter 13 (Monsters),"Kion, Ocean King",kion-ocean-king,,Monster,published,"Evolves from: Oditon, Metal Serpent

Serpent w/hair, armor, spikes, small wings, triton. Evolve form of Obiton, Kion possess the power to control water and aquatic creatures, it is about 50ft tall and has small wings that can lift its entire body. Unlike its previous forms, it can fly, although slowly.",Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric
Chapter 13 (Monsters),"Orgonos, Lord Of The Seas",orgonos-lord-of-the-seas,,Monster,published,"Evolves from: Kion, Ocean King

1000 ft Serpent w/triton, big wings, triton, spikes. Evolve form of Kion, standing at 1000 ft, Orgonos is one of the eldest sons to Crochen.",Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric
Chapter 13 (Monsters),Sand Eel,sand-eel,,Monster,published,"Eel w/rock skin, antennae. Unlike most eels, the Sand Eel’s body can produce massive amounts of sand and rock, its body is adjustable and can regenerate at will.",Main Universe,Monsters,,,,Types: Aqua; Types: Beast; Types: Geo; Level: Ability
Chapter 13 (Monsters),Giant Red Eel,giant-red-eel,,Monster,published,"Evolves from: Sand Eel

Giant Red Eel w/armor. Evolve form of Sand Eel, this giant red eel can produce massive sand storms. This creature can live for thousands of years by regenerating its body using the sand around it.",Main Universe,Monsters,,,,Types: Aqua; Types: Beast; Types: Geo
Chapter 13 (Monsters),Death Jellyfish,death-jellyfish,,Monster,published,"Jellyfish w/metal armor. With one touch of the electricity provided by the Death Jellyfish, it can cause immediate paralysis or even death.",Main Universe,Monsters,,,,Types: Aqua; Types: Beast; Types: Shock; Level: Ability
Chapter 13 (Monsters),The Seaquoich,the-seaquoich,,Monster,published,"Evolves from: Death Jellyfish

Giant Jellyfish w/thousands of eyes. Each of its eyes can see different points around it, the pupils on each eye can shoot at least 3,000 volts of electricity.",Main Universe,Monsters,,,,Types: Aqua; Types: Beast; Types: Shock
Chapter 13 (Monsters),Cannon Fish,cannon-fish,,Monster,published,"Fish w/cannons on back. The Cannon Fish has giant cannons on its back that can shoot massive amounts of bullets all generated from air, water, and fuel found in its body.",Main Universe,Monsters,,,,Types: Aqua; Types: Metal; Level: Battle
Chapter 13 (Monsters),"Kaos, Ancient Turtle",kaos-ancient-turtle,,Monster,published,"Level note: Guardian Of The Earth

Giant Tortoise w/trees and mt. from its back. This giant guardian protected the Earth almost 10,000 years ago and has since slept, mountains, cities, and forests has grown on its back, the cities has since been abandoned since it was awaken.",Main Universe,Monsters,,,,Types: Aqua; Types: Geo; Types: Leaf; Level: Extreme
Chapter 13 (Monsters),"Dihniuos, Blessed Dolphin",dihniuos-blessed-dolphin,,Monster,published,"Level note: Guardian Of The Seas

Giant Dolphin w/jewels on its back, wings, hair. Guardian of the Seas, the protector has a body made of smooth leather like fabric and the glowing jewels and crystals can omit light and beams of energy as attacks.",Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Level: Extreme
Chapter 13 (Monsters),Harpoon Fish,harpoon-fish,,Monster,published,Salmon w/harpoons. These small creatures have harpoons on their sides that are used as weapons when being attacked by larger pray.,Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Level: Battle
Chapter 13 (Monsters),Diggy,diggy,,Monster,published,"Duck w/armor, steel fist Diggy has giant steel fist that allows it to be a valuable fighter.",Main Universe,Monsters,,,,Types: Aqua; Types: Geo; Level: Ability
Chapter 13 (Monsters),Armored Shrimp,armored-shrimp,,Monster,published,"Shrimp w/armor, stingers. The Armored Shrimp is small but with its armor, it can almost reflect any attack.",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Siren,siren,,Monster,published,"Half woman, half mermaid w/long dark hair, demonic claws. The siren is deadly maidens or spirits of the sea. Their cries can lure men into their traps and kill them. Only skilled women can get around their deadly songs.",Main Universe,Monsters,,,,Types: Aqua; Types: Shadow; Level: Extreme
Chapter 13 (Monsters),Mermadic Females,mermadic-females,,Monster,published,"Mermaids w/female features (sometimes have armors). Mermadic Females are mermaids that belong to Crochen’s kingdom and arehis daughters, there currently are over 10,000 mermaids living in the world, each resembles the next.",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Mermadic Males,mermadic-males,,Monster,published,"Mermen w/different male features (sometimes w/armor). Opposites of the female mermadic kingdom, the Mermen are usually warriors or leaders in their households; some have warrior armor while others are servants to Crochen.",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Mermaid Soldiers,mermaid-soldiers,,Monster,published,"----MERMADIC FEMALES or MERMADIC MALES

Female/Male Mermaids w/weapons & armor. Both male and female mermadic kingdom members, these soldiers possess the same physical attributes however with enhanced weaponry, once the armor and weapons are placed upon normal Mermadic members, they evolve into soldiers.",Main Universe,Monsters,,,,Types: Aqua; Types: Soldier
Chapter 13 (Monsters),"Sisho, Ocean Guard",sisho-ocean-guard,,Monster,published,"Giant Scissor Fish w/triton. Fast fish with scissor like claws and metal bodies, Sisho carries a triton that can unleash massive amounts of aquatic attacks.",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),The Clown Fish,the-clown-fish,,Monster,published,Small Rainbow Fish. The Clown Fish is covered in rainbow like patterns that once looked upon can make someone dizzy.,Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Niken,niken,,Monster,published,"Swordfish w/spikes. Niken is very fast fish with giant sword like objects around its body, if touched, Niken blade like scales will start cutting repeatedly until the foe is defeated.",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Castle Dolphin,castle-dolphin,,Monster,published,"Dolphin w/steel twin fins. This dolphin carries a castle like structure on its back and a crown like object on its head. It is said that once upon a time, it belong to the royal family of Aurelia.",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Castle Whale,castle-whale,,Monster,published,"3 million lbs whale w/castle on its back. The largest creature in  Aurelia, the Castle Whale can’t move very fast however when it does, it creates giant waves and earthquakes along the way. It’s Super Blast Beam can destroy cities with one blow.",Main Universe,Monsters,,,,Types: Aqua; Level: Extreme
Chapter 13 (Monsters),Devil Ray,devil-ray,,Monster,published,Stingray w/shock pads on its back. The Devil Ray has giant shock pads on its body that if touched can paralyse the toucher.,Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Level: Battle
Chapter 13 (Monsters),Shark Tooth,shark-tooth,,Monster,published,"Giant Shark w/rusted rocky metal skin. Coated in hard metal, Shark Tooth’s body is believed to be the product of living in harsh surroundings in ancient times. It body now serves as a protective shield against attacks.",Main Universe,Monsters,,,,Types: Aqua; Types: Metal; Level: Battle
Chapter 13 (Monsters),Machine Fish,machine-fish,,Monster,published,"Half gold fish, mechanical parts, half submarine. Created about 600 years ago, this creature’s body is a submarine however its heart, upper body, and tail are that of different fishes.",Main Universe,Monsters,,,,Types: Aqua; Types: Metal; Level: Battle
Chapter 13 (Monsters),Shining Fish,shining-fish,,Monster,published,Neon Goldfish. A glowing fish that can blind foes with bright flashing lights.,Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Air Duckers,air-duckers,,Monster,published,"Half Duck, Half Robin. This hybrid duck can use  its giant wings to fly while using its fins to swim both at exteme rates.",Main Universe,Monsters,,,,Types: Aqua; Types: Aero; Level: Ability
Chapter 13 (Monsters),Element Of Water,element-of-water,,Monster,published,"Woman shape made up of water w/eyes, pearl on its chest. Beautiful, fast, and strong is what describes this spirit. In ancient times, the Element of Water protected the oceans, ponds, lakes, and rivers and could be called upon to grant magical properties such as healing and immortality.",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Altarian Male,altarian-male,,Monster,published,"Centaur w/mermadic features. Stong and brute, this warrior lives deep below the waters and is able to swim at fast rrates. It appears to be the protector of Crochen’s kingdom.",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Altarian Female,altarian-female,,Monster,published,"Female Centaur w/mermadic features. Although equally stong to her male counterpart, the Altarian Female wishes to better serve royal figures.",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Altarian Hound,altarian-hound,,Monster,published,"Half Dog, Half Mermaid features. Protector of the people of the Mermadic Kingdom, the Altarian Hound has giant claws, fangs, and a mermaid like tail all used in attacks and to swim extremely fast.",Main Universe,Monsters,,,,Types: Aqua; Types: Beast; Level: Ability
Chapter 13 (Monsters),Delphine,delphine,,Monster,published,Beautiful dolphin w/smooth appearing skin & jewel on forehead,Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Jeserine,jeserine,,Monster,published,Beautiful cat like creature w/smooth appearing skin w/a diamond shape antennae,Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Saaolist,saaolist,,Monster,published,"Giant serpent like creature w/red antennas, green acidic body, morphed deformed coating",Main Universe,Monsters,,,,Types: Aqua; Types: Vermin; Types: Shadow; Level: Battle
Chapter 13 (Monsters),Ocean Titan,ocean-titan,,Monster,published,Giant female covered in water w/staff,Main Universe,Monsters,,,,Types: Aqua; Level: Extreme
Chapter 13 (Monsters),Mistress Of Water,mistress-of-water,,Monster,published,Liquid form female giant w/pearls and royal clothing w/staff & octopus lower half,Main Universe,Monsters,,,,Types: Aqua; Level: Extreme
Chapter 13 (Monsters),Mystic Dolphin,mystic-dolphin,,Monster,published,"Blue sparkling dolphins w/orbs on chest, tail, and fins",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Talondish Rider,talondish-rider,,Monster,published,Teenage nixie on mystic dolphins w/long hair,Main Universe,Monsters,,,,Types: Aqua; Types: Soldier; Level: Battle
Chapter 13 (Monsters),Wolfshark,wolfshark,,Monster,published,"Half shark, half wolf like features w/long pulled back horns",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Electrifish,electrifish,,Monster,published,Mouse fish w/electric patches on fins,Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Level: Battle
Chapter 13 (Monsters),Electrieel,electrieel,,Monster,published,Eel w/rock hard armor,Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Level: Ability
Chapter 13 (Monsters),Magnawhale,magnawhale,,Monster,published,3000 ton whale w/half rock/stone body,Main Universe,Monsters,,,,Types: Aqua; Level: Enrage
Chapter 13 (Monsters),Magnetiwhale,magnetiwhale,,Monster,published,7000 ton whale w/mechanical parts,Main Universe,Monsters,,,,Types: Aqua; Types: Metal; Level: Enrage
Chapter 13 (Monsters),Daemon Of The Sea,daemon-of-the-sea,,Monster,published,100 ton demon w/mix fish & aquatic life qualities,Main Universe,Monsters,,,,Types: Aqua; Types: Shadow; Level: Enrage
Chapter 13 (Monsters),Danity Pierce,danity-pierce,,Monster,published,Pirate w/long black spiky hair,Main Universe,Monsters,,,,Types: Aqua; Types: Soldier; Level: Ability
Chapter 13 (Monsters),Creshaw,creshaw,,Monster,published,Leviathan w/metal scales,Main Universe,Monsters,,,,Types: Aqua; Types: Shadow; Level: Enrage
Chapter 13 (Monsters),Aurora Hound,aurora-hound,,Monster,published,"Blue fox w/12 rainbow colored tails, wings, 11ft tall",Main Universe,Monsters,,,,Types: Aqua; Types: Aero; Level: Enrage
Chapter 13 (Monsters),Boreal Hunter,boreal-hunter,,Monster,published,"Evolves from: Aurora Hound

Aurora hound standing upright w/armor",Main Universe,Monsters,,,,Types: Aqua; Types: Soldier
Chapter 13 (Monsters),"Drift, Aqua Mage",drift-aqua-mage,,Monster,published,"Tall mysterious entity w/full length cloak, pale skin",Main Universe,Monsters,,,,Types: Aqua; Level: Enrage
Chapter 13 (Monsters),Ocean Crist,ocean-crist,,Monster,published,Female spirit made of water w/glowing white orbs on inside of body,Main Universe,Monsters,,,,Types: Aqua; Level: Enrage
Chapter 13 (Monsters),Sea Wing,sea-wing,,Monster,published,Giant half serpent w/upper female form,Main Universe,Monsters,,,,Types: Aqua; Types: Aero; Level: Enrage
Chapter 13 (Monsters),Aquatini,aquatini,,Monster,published,"Baby Walrus w/horn for a snout, blue/white skin",Main Universe,Monsters,,,,Types: Aqua; Level: Baby Form
Chapter 13 (Monsters),Aquasuar,aquasuar,,Monster,published,"Evolves from: Aquatini

Blue dinosaur boy w/horn as nose, sharp claws, spikes down back, spiked ears",Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric
Chapter 13 (Monsters),Vipaqantus,vipaqantus,,Monster,published,"Prehistoric type: Serpent
Evolves from: Aquasarus

Blue/white dragon serpent w/large scales & spikes on body, different colored jewels around body. Giant green & black sword",Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric
Chapter 13 (Monsters),Zantorus,zantorus,,Monster,published,"Prehistoric type: Dragon
Evolves from: Vipaqantus

Giant four legged dragon like wolf with spiky steel armor & giant fangs, horn like tail & sword like nose",Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric
Chapter 13 (Monsters),Isyluss,isyluss,,Monster,published,"Appearance: White/blue horse with ice sickles around body, blue eyes, long white hair, sparkling jewels on skin

Able to move on water at top speeds, Isyluss can freeze water at a temperature below -1000 degrees. It lives in icy terrain and controls the particles in the air to create ice attacks.",Main Universe,Monsters,,,,Types: Aqua; Types: Frozen; Level: Battle
Chapter 13 (Monsters),Cria,cria,,Monster,published,"Appearance: Seahorse like creature with black/blue/purple body, slimy skin, small wings, mermaid like tail

Beautiful spirit of the sea, this creature moves gently throughout the waters cam ouflaging itself with the waves, the orbs around its neck ca signal future threats to its environments.",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Criatira,criatira,,Monster,published,"Evolves from: Cria

Appearance: Cria w/clouds as tails, hair, wings, & arising from hooves. White patches of glass around its body

One of the postal guardians to the Mermadic Kingdom, this creature uses its horn to blast anything it considers an enemy.",Main Universe,Monsters,,,,Types: Aqua; Types: Aero
Chapter 13 (Monsters),Startretta,startretta,,Monster,published,"Star fish with big eyes, crystal like body & glass like structure over body",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Vokastar,vokastar,,Monster,published,"Evolves from: Startretta

Star fish like serpent w/starfish head & serpent body, giant spikes for wings, orbs circling its body",Main Universe,Monsters,,,,Types: Aqua
Chapter 13 (Monsters),Oceanbus,oceanbus,,Monster,published,"Giant wolf dog beast like creature w/upper coral reef like body, split tail, giant fangs & claws, long light blue hair",Main Universe,Monsters,,,,Types: Aqua; Level: Enrage
Chapter 13 (Monsters),Pleipras,pleipras,,Monster,published,White/black Futabasaurus w/heavy constructed rock bump on its back & patches of red marks on its underbelly,Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric; Level: Battle
Chapter 13 (Monsters),Nidhogga,nidhogga,,Monster,published,Similar to the appearance of Nidhogg of Norse Mythology w/giant reddish-white scales & thin clear wings,Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric; Level: Battle
Chapter 13 (Monsters),Tuca,tuca,,Monster,published,Baby toucan w/giant beak.,Main Universe,Monsters,,,,Types: Aqua; Types: Aero; Level: Baby Form
Chapter 13 (Monsters),Trudlamp,trudlamp,,Monster,published,"Evolves from: Tuca

Adult toucan w/giant beak, lamp like object on its under-belly, glowing eyes, electric sparks from its wings",Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Types: Aero
Chapter 13 (Monsters),Brumpoplum,brumpoplum,,Monster,published,"Evolves from: Trudlamp

Giant hawk/toucan like creature w/glowing orbs on its body & reddish/white imprints around its wings & fur",Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Types: Aero
Chapter 13 (Monsters),Duclam,duclam,,Monster,published,"Baby duck like creature with glowing orb as a tail, small claws",Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Level: Baby Form
Chapter 13 (Monsters),Pishduck,pishduck,,Monster,published,"Evolves from: Duclam

Boy size duck w/big claws, long tail with attached orb, curly hair, orb on both knees & ponytail",Main Universe,Monsters,,,,Types: Aqua; Types: Shock
Chapter 13 (Monsters),Kanisduck,kanisduck,,Monster,published,"Evolves from: Pishduck

Man size duck w/giant claws, two tails with detached orb, curly hair, orb on forehead, jacket like material & baggy pants, giant knives",Main Universe,Monsters,,,,Types: Aqua; Types: Shock
Chapter 13 (Monsters),Dabreta,dabreta,,Monster,published,Lionfish w/long pulled back horns,Main Universe,Monsters,,,,Types: Aqua; Types: Metal; Level: Battle
Chapter 13 (Monsters),Bullshark,bullshark,,Monster,published,"Egg of a Bull-shark (animal) w/eyes, small hands & feet",Main Universe,Monsters,,,,Types: Aqua; Level: Ability
Chapter 13 (Monsters),Dunkledorf,dunkledorf,,Monster,published,Giant Dunkleosteus w/metal armor & small city on the tip of its tail,Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric; Types: Geo; Level: Battle
Chapter 13 (Monsters),Aquadog,aquadog,,Monster,published,Dog w/ mermadic features,Main Universe,Monsters,,,,Types: Aqua; Types: Beast; Level: Ability
Chapter 13 (Monsters),Gian,gian,,Monster,published,"Evolves from: Aquadog

Dog standing upright w/mermadic features & seaweed as fins",Main Universe,Monsters,,,,Types: Aqua; Types: Mind; Types: Beast
Chapter 13 (Monsters),Killer Of The Ocean,killer-of-the-ocean,,Monster,published,"Anglerfish w/large fangs, when on land it grows feet & giant claws, longer tail, & two antlers",Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Level: Battle
Chapter 13 (Monsters),Obruckavalus,obruckavalus,,Monster,published,"Circular object w/overlapping circular body underneath, one giant eye & black/brown body made of unknown rock",Main Universe,Monsters,,,,Types: Aqua; Types: Mind
Chapter 13 (Monsters),RIN,rin,,Monster,published,Baby rhino standing upright w/boxing gloves on fist,Main Universe,Monsters,,,,Types: Aqua; Types: Geo; Level: Ability
Chapter 13 (Monsters),Rinatirusa,rinatirusa,,Monster,published,"Evolves from: RIN

Teenage rhino standing upright w/boxing gloves on fist & boxing glove on tail & fangs, claws, and star like rock chest plate",Main Universe,Monsters,,,,Types: Aqua; Types: Soldier
Chapter 13 (Monsters),Robustis,robustis,,Monster,published,"Evolves from: Rinatirusa

Adult version of RINATIRUSA w/claws coming from shoulders, arms, legs, & sides of face, long tail from back of its head",Main Universe,Monsters,,,,Types: Aqua; Types: Soldier; Types: Geo
Chapter 13 (Monsters),Pi-1,pi-1,,Monster,published,"Alien like creature w/part robotic body, giant eyes & smile, glowing orbs around neck, head floating above neck.  The PI-1 is a mysterious creature from an unknown world, so far only five have visited Aurelia and Earth and no studies has been done to determine their origins, powers, or special traits. However it has been known that it has aquatic and mechanical attributes.",Main Universe,Monsters,,,,Types: Aqua; Types: Machine; Level: Ability
Chapter 13 (Monsters),Akinus,akinus,,Monster,published,"Sea lion w/glowing scales & aquatic like fire coming from its back as hair. This beautiful creature contains fire like hair that if put out will kill it, luckily for it, only dry sand can put it out as it lives in water and is immune to it.",Main Universe,Monsters,,,,Types: Aqua; Level: Battle
Chapter 13 (Monsters),Drilldragon,drilldragon,,Monster,published,"Prehistoric type: Serpent

Shark w/drill as a nose, 10ft long body, & hard bodied shell. It has a drill like structure its forehead, that allows it to drill through hard surfaces.",Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric; Level: Battle
Chapter 13 (Monsters),Nodaprent,nodaprent,,Monster,published,"Prehistoric type: Serpent
Evolves from: Drilldragon

Giant swordfish w/glowing reddish & blue body. The evolve form of Drilldragon, this giant shark has four eyes and its sword like nose is used in a variety of fighting attacks.",Main Universe,Monsters,,,,Types: Aqua; Types: Prehistoric
Chapter 13 (Monsters),Shrintet,shrintet,,Monster,published,"Shrimp w/yellow & black bodied shrimp that haves patches of electricity around its body. This electric fish can produce massive amounts of electric charged pulses throughout its body. When it glows a bright red, it means it is about to discharge.",Main Universe,Monsters,,,,Types: Aqua; Types: Shock; Level: Ability
Chapter 13 (Monsters),Chiwen,chiwen,,Monster,published,Similar appearance to the Chiwen of Chinese mythology. Its body is made of mysterious form of gold & diamond. This mysterious creature travels the oceans in providing gold and diamonds to surrounding cities that worships it. Where it is from and what the limits of its powers are currently unknown.,Main Universe,Monsters,,,,Types: Aqua; Level: Ability
